id,chr_name,genomic_start,genomic_end
nvison,X,74257521.0,74261635.0
nvison,1,26465185.0,26467809.0
nvison,1,26462528.0,26464413.0
nvison,1,26459176.0,26460648.0
nvison,10,19629142.0,19630733.0
nvison,10,53448028.0,53449282.0
nvison,1,25488264.0,25489431.0
nvison,1,26460731.0,26461798.0
nvison,10,53445038.0,53446045.0
nvison,10,53441907.0,53443127.0
nvison,10,53446911.0,53447814.0
nvison,10,53441139.0,53441862.0
nvison,10,53444409.0,53445037.0
nvison,10,34104194.0,34104712.0
nvison,11,138573390.0,138573638.0
nvison,10,34101964.0,34102418.0
nvison,10,34103105.0,34103597.0
nvison,10,19628231.0,19628821.0
nvison,1,26461883.0,26462197.0
nvison,10,34099880.0,34100246.0
nvison,10,53443723.0,53444384.0
nvison,12,119597236.0,119597636.0
nvison,1,26468210.0,26468565.0
nvison,10,34101461.0,34101711.0
nvison,6,2613305.0,2613579.0
nvison,12,96897485.0,96897765.0
nvison,6,2613305.0,2613528.0
nvison,4,200287671.0,200288018.0
nvison,7,182030213.0,182030688.0
nvison,6,2613348.0,2613600.0
nvison,6,2613406.0,2613642.0
nvison,12,100794922.0,100795157.0
nvison,6,2613456.0,2613696.0
nvison,7,141811363.0,141811520.0
nvison,1,253080268.0,253080385.0
nvison,X,9516192.0,9516375.0
nvison,X,73457375.0,73457543.0
nvison,2,25377651.0,25377762.0
nvison,X,9515851.0,9516104.0
nvison,10,19631137.0,19631524.0
nvison,7,110387093.0,110387247.0
nvison,1,26464586.0,26464758.0
nvison,10,34100681.0,34100938.0
nvison,6,2613514.0,2613694.0
nvison,4,137576378.0,137576621.0
nvison,6,2613522.0,2613699.0
nvison,9,100504115.0,100504256.0
nvison,6,2613571.0,2613699.0
nvison,9,100504122.0,100504252.0
nvison,11,29778394.0,29778477.0
nvison,1,297030006.0,297030112.0
nvison,1,316244135.0,316244341.0
nvison,3,2135960.0,2136150.0
nvison,8,12494882.0,12495011.0
nvison,8,12494884.0,12495010.0
nvison,3,2136018.0,2136149.0
nvison,3,199012685.0,199012913.0
nvison,3,199012716.0,199012970.0
nvison,9,100504115.0,100504252.0
nvison,7,45671351.0,45671460.0
nvison,7,100629482.0,100629689.0
nvison,1,26464478.0,26464576.0
nvison,12,6694282.0,6694422.0
nvison,3,2135978.0,2136112.0
nvison,6,5298127.0,5298351.0
nvison,8,132124355.0,132124463.0
nvison,9,2307615.0,2307751.0
nvison,10,56095945.0,56096085.0
nvison,8,973294.0,973439.0
nvison,8,132124380.0,132124465.0
nvison,9,101496014.0,101496124.0
nvison,12,6694276.0,6694415.0
nvison,3,203317854.0,203317981.0
nvison,8,12494942.0,12495010.0
nvison,9,100504168.0,100504256.0
nvison,X,94650204.0,94650256.0
nvison,2,43785344.0,43785465.0
nvison,9,100504161.0,100504248.0
nvison,13,78486925.0,78486984.0
nvison,3,162954057.0,162954149.0
nvison,5,55366485.0,55366587.0
nvison,8,2172160.0,2172224.0
nvison,9,101496006.0,101496124.0
nvison,10,3294654.0,3294706.0
nvison,11,106745618.0,106746936.0
nvison,13,94614440.0,94617005.0
nvison,14,31433268.0,31434783.0
nvison,13,94617949.0,94619254.0
nvison,8,83162988.0,83164170.0
nvison,7,181769417.0,181770609.0
nvison,14,31432231.0,31433213.0
nvison,6,116529725.0,116530761.0
nvison,7,181771317.0,181772312.0
nvison,7,181774048.0,181775337.0
nvison,1,217461256.0,217462438.0
nvison,6,116528427.0,116529534.0
nvison,7,181776603.0,181777600.0
nvison,13,94620562.0,94621263.0
nvison,7,181779489.0,181780177.0
nvison,13,94595629.0,94596243.0
nvison,11,142607219.0,142607875.0
nvison,X,17782291.0,17782785.0
nvison,13,94617145.0,94617708.0
nvison,1,217462478.0,217463121.0
nvison,8,83160653.0,83161034.0
nvison,8,83162292.0,83162612.0
nvison,7,181770731.0,181771221.0
nvison,8,83161764.0,83162063.0
nvison,1,217463196.0,217463566.0
nvison,11,59160124.0,59160412.0
nvison,7,181768663.0,181768849.0
nvison,7,100305628.0,100305885.0
nvison,10,847368.0,847523.0
nvison,13,94594946.0,94595290.0
nvison,14,31434822.0,31434992.0
nvison,1,137051661.0,137051863.0
nvison,7,100305616.0,100305841.0
nvison,3,623206.0,623443.0
nvison,7,100305707.0,100305903.0
nvison,13,1800231.0,1800429.0
nvison,7,100305679.0,100305901.0
nvison,4,230550022.0,230550265.0
nvison,6,80845524.0,80846307.0
nvison,5,8153454.0,8153683.0
nvison,1,217460240.0,217460975.0
nvison,2,224402141.0,224402372.0
nvison,5,8153383.0,8153643.0
nvison,2,3711608.0,3711860.0
nvison,5,8153417.0,8153658.0
nvison,2,3711770.0,3712020.0
nvison,2,3711864.0,3712099.0
nvison,13,94596268.0,94596517.0
nvison,5,8153466.0,8153685.0
nvison,13,1800239.0,1800429.0
nvison,10,39563125.0,39563350.0
nvison,10,39563171.0,39563339.0
nvison,6,2797311.0,2797477.0
nvison,7,120751269.0,120751383.0
nvison,7,181773219.0,181773461.0
nvison,12,62528561.0,62528706.0
nvison,13,1800227.0,1800385.0
nvison,2,3711728.0,3711962.0
nvison,10,9414020.0,9414205.0
nvison,10,39563180.0,39563355.0
nvison,13,1800227.0,1800421.0
nvison,6,116528337.0,116528432.0
nvison,7,31498289.0,31498506.0
nvison,12,117770032.0,117770219.0
nvison,5,8153349.0,8153622.0
nvison,13,1800227.0,1800399.0
nvison,5,164291062.0,164291284.0
nvison,2,3711909.0,3712157.0
nvison,5,164290953.0,164291204.0
nvison,5,164290967.0,164291211.0
nvison,10,31743879.0,31743967.0
nvison,12,117770008.0,117770193.0
nvison,3,199488631.0,199488819.0
nvison,8,4276102.0,4276272.0
nvison,10,9414030.0,9414226.0
nvison,X,47515046.0,47515212.0
nvison,7,181776177.0,181776450.0
nvison,11,208705588.0,208705723.0
nvison,14,31435350.0,31435552.0
nvison,7,154857559.0,154857631.0
nvison,9,1863591.0,1863683.0
nvison,10,39563061.0,39563230.0
nvison,10,39563063.0,39563251.0
nvison,2,3711972.0,3712161.0
nvison,5,54593330.0,54593397.0
nvison,10,5292879.0,5293060.0
nvison,7,154857823.0,154857906.0
nvison,10,31743871.0,31743959.0
nvison,4,6964730.0,6964850.0
nvison,4,6964730.0,6964833.0
nvison,11,59160478.0,59160537.0
nvison,11,59894178.0,59894237.0
nvison,10,31906062.0,31906166.0
nvison,10,39563059.0,39563242.0
nvison,14,21992626.0,21992816.0
nvison,5,164290965.0,164291147.0
nvison,1,257009909.0,257009967.0
nvison,3,124803083.0,124803155.0
nvison,3,214924757.0,214924915.0
nvison,4,6964734.0,6964845.0
nvison,10,31743873.0,31743951.0
nvison,11,208705555.0,208705667.0
nvison,13,89253084.0,89253192.0
nvison,13,111792085.0,111792173.0
nvison,2,221615545.0,221615669.0
nvison,3,124803060.0,124803141.0
nvison,3,124803262.0,124803384.0
nvison,4,72403846.0,72403937.0
nvison,5,61660403.0,61660484.0
nvison,13,78388542.0,78388633.0
nvison,4,6964730.0,6964850.0
nvison,5,166418606.0,166418708.0
nvison,6,152586025.0,152586173.0
nvison,7,181772518.0,181772592.0
nvison,8,36757737.0,36757797.0
nvison,12,145035977.0,145036114.0
bacutorostrata,1,85462916.0,85475705.0
bacutorostrata,11,53087433.0,53103589.0
bacutorostrata,8,93384874.0,93393556.0
bacutorostrata,2,14466788.0,14473554.0
bacutorostrata,11,53097676.0,53103589.0
bacutorostrata,2,69667365.0,69673585.0
bacutorostrata,4,104710689.0,104717502.0
bacutorostrata,3,132507371.0,132514466.0
bacutorostrata,2,49174597.0,49181012.0
bacutorostrata,9,7031386.0,7035986.0
bacutorostrata,19,66569514.0,66574503.0
bacutorostrata,19,51473709.0,51479623.0
bacutorostrata,9,21429187.0,21433485.0
bacutorostrata,9,21429328.0,21433485.0
bacutorostrata,19,66574502.0,66578662.0
bacutorostrata,4,104718010.0,104721966.0
bacutorostrata,4,104718137.0,104721966.0
bacutorostrata,13,56123758.0,56128069.0
bacutorostrata,13,56123896.0,56128069.0
bacutorostrata,7,18846380.0,18850334.0
bacutorostrata,19,66578777.0,66582002.0
bacutorostrata,18,20382976.0,20386338.0
bacutorostrata,2,14473877.0,14477846.0
bacutorostrata,11,12153011.0,12155919.0
bacutorostrata,21,20657755.0,20661536.0
bacutorostrata,19,66579389.0,66582002.0
bacutorostrata,5,8644808.0,8647496.0
bacutorostrata,11,12149213.0,12151828.0
bacutorostrata,5,67747751.0,67750509.0
bacutorostrata,21,28952085.0,28954633.0
bacutorostrata,21,28952240.0,28954633.0
bacutorostrata,3,87710385.0,87712718.0
bacutorostrata,3,132515288.0,132517743.0
bacutorostrata,3,132515425.0,132517743.0
bacutorostrata,3,30497629.0,30500794.0
bacutorostrata,12,31782888.0,31785152.0
bacutorostrata,6,112065484.0,112067618.0
bacutorostrata,7,18842741.0,18844946.0
bacutorostrata,7,18842872.0,18844946.0
bacutorostrata,19,66582335.0,66583956.0
bacutorostrata,16,50310384.0,50313112.0
bacutorostrata,2,60615442.0,60618684.0
bacutorostrata,6,112063462.0,112065157.0
bacutorostrata,3,19821627.0,19823726.0
bacutorostrata,2,49172798.0,49174596.0
bacutorostrata,8,108630984.0,108633699.0
bacutorostrata,,32116.0,34406.0
bacutorostrata,7,11650823.0,11652804.0
bacutorostrata,3,82245084.0,82246858.0
bacutorostrata,2,60618854.0,60621210.0
bacutorostrata,4,486746.0,489021.0
bacutorostrata,8,117214603.0,117216893.0
bacutorostrata,16,87030714.0,87033001.0
bacutorostrata,1,138370239.0,138372527.0
bacutorostrata,16,70132148.0,70134440.0
bacutorostrata,13,238056.0,240342.0
bacutorostrata,12,31780571.0,31782281.0
bacutorostrata,,97592.0,99887.0
bacutorostrata,10,54511.0,56799.0
bacutorostrata,3,30502379.0,30504510.0
bacutorostrata,12,386066.0,388347.0
bacutorostrata,2,145423907.0,145426191.0
bacutorostrata,7,91759815.0,91762102.0
bacutorostrata,,103866.0,106145.0
bacutorostrata,6,490083.0,492600.0
bacutorostrata,16,50306395.0,50308454.0
bacutorostrata,8,93395757.0,93396948.0
bacutorostrata,6,496477.0,498490.0
bacutorostrata,21,28949367.0,28950980.0
bacutorostrata,X,68103961.0,68105788.0
bacutorostrata,4,27465903.0,27468211.0
bacutorostrata,21,20662472.0,20663915.0
bacutorostrata,3,77549766.0,77551143.0
bacutorostrata,21,28947104.0,28948805.0
bacutorostrata,10,52996854.0,52998347.0
bacutorostrata,3,132518050.0,132519151.0
bacutorostrata,12,384358.0,386058.0
bacutorostrata,X,68107205.0,68108767.0
bacutorostrata,2,145422199.0,145423899.0
bacutorostrata,2,143493419.0,143495097.0
bacutorostrata,X,133549213.0,133550803.0
bacutorostrata,6,492658.0,494224.0
bacutorostrata,5,5980155.0,5981187.0
bacutorostrata,3,157722910.0,157724040.0
bacutorostrata,10,52799.0,54503.0
bacutorostrata,13,81403953.0,81405185.0
bacutorostrata,2,49181463.0,49182763.0
bacutorostrata,9,21427459.0,21428471.0
bacutorostrata,21,28954965.0,28956011.0
bacutorostrata,11,86141673.0,86143282.0
bacutorostrata,1,131727169.0,131729022.0
bacutorostrata,4,27462536.0,27463888.0
bacutorostrata,X,58574697.0,58575854.0
bacutorostrata,8,117217235.0,117218515.0
bacutorostrata,9,21433469.0,21434354.0
bacutorostrata,1,131730244.0,131731915.0
bacutorostrata,,95546.0,96974.0
bacutorostrata,4,489359.0,490641.0
bacutorostrata,7,91762440.0,91763722.0
bacutorostrata,X,68108768.0,68109825.0
bacutorostrata,2,143498046.0,143499333.0
bacutorostrata,3,132519481.0,132520447.0
bacutorostrata,16,80444951.0,80446213.0
bacutorostrata,,100211.0,101501.0
bacutorostrata,10,52993129.0,52994078.0
bacutorostrata,7,11652034.0,11652804.0
bacutorostrata,X,133557086.0,133558421.0
bacutorostrata,16,70134775.0,70136053.0
bacutorostrata,16,80446216.0,80447391.0
bacutorostrata,,3290.0,4568.0
bacutorostrata,3,19815459.0,19816533.0
bacutorostrata,2,143496583.0,143497705.0
bacutorostrata,X,133554528.0,133555524.0
bacutorostrata,5,5982068.0,5982928.0
bacutorostrata,X,133553305.0,133554445.0
bacutorostrata,8,93394546.0,93395314.0
bacutorostrata,4,43838664.0,43839870.0
bacutorostrata,2,60612769.0,60614279.0
bacutorostrata,16,50304460.0,50306030.0
bacutorostrata,10,53011123.0,53012089.0
bacutorostrata,16,50318107.0,50319480.0
bacutorostrata,5,5982199.0,5982928.0
bacutorostrata,2,143495109.0,143496246.0
bacutorostrata,3,30505341.0,30506316.0
bacutorostrata,4,104709998.0,104710692.0
bacutorostrata,10,53005164.0,53006111.0
bacutorostrata,20,173824.0,174872.0
bacutorostrata,7,11650125.0,11650831.0
bacutorostrata,2,72501391.0,72502011.0
bacutorostrata,19,51481511.0,51482243.0
bacutorostrata,X,133552026.0,133552917.0
bacutorostrata,21,28956379.0,28957217.0
bacutorostrata,12,92249820.0,92250313.0
bacutorostrata,12,23767050.0,23767901.0
bacutorostrata,12,26483274.0,26484441.0
bacutorostrata,13,240697.0,241508.0
bacutorostrata,16,50348294.0,50349280.0
bacutorostrata,21,20664469.0,20665120.0
bacutorostrata,11,12152187.0,12152698.0
bacutorostrata,18,20382384.0,20382975.0
bacutorostrata,10,53002920.0,53003853.0
bacutorostrata,1,131726192.0,131727114.0
bacutorostrata,16,50308845.0,50309657.0
bacutorostrata,21,20664612.0,20665120.0
bacutorostrata,10,53012210.0,53013101.0
bacutorostrata,7,18845898.0,18846380.0
